subject_id,spider score,swiss score, Parent CTX_image, center latitude, center longitude,CTX center x position,CTX center y position
1042104,0.000,1.000,"P13_006176_0935_XN_86S350W",-87.08,18.14,400,3300
1042105,0.000,0.812,"P13_006176_0935_XN_86S350W",-87.05,17.16,400,3900
1042106,0.000,0.956,"P13_006176_0935_XN_86S350W",-87.01,16.20,400,4500
1042107,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.98,15.27,400,5100
1042108,0.000,0.918,"P13_006176_0935_XN_86S350W",-86.94,14.35,400,5700
1042109,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.90,13.46,400,6300
1042110,0.000,0.952,"P13_006176_0935_XN_86S350W",-86.86,12.59,400,6900
1042111,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.82,11.74,400,7500
1042112,0.000,0.752,"P13_006176_0935_XN_86S350W",-86.79,10.91,400,8100
1042113,0.047,0.808,"P13_006176_0935_XN_86S350W",-86.75,10.10,400,8700
1042114,0.000,0.904,"P13_006176_0935_XN_86S350W",-86.71,9.30,400,9300
1042115,0.048,0.187,"P13_006176_0935_XN_86S350W",-86.66,8.54,400,9900
1042116,0.099,0.807,"P13_006176_0935_XN_86S350W",-86.62,7.78,400,10500
1042117,0.048,0.810,"P13_006176_0935_XN_86S350W",-86.58,7.05,400,11100
1042118,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.54,6.33,400,11700
1042119,0.051,0.911,"P13_006176_0935_XN_86S350W",-86.49,5.63,400,12300
1042120,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.45,4.95,400,12900
1042121,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.41,4.29,400,13500
1042122,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.36,3.64,400,14100
1042123,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.32,3.00,400,14700
1042124,0.000,0.916,"P13_006176_0935_XN_86S350W",-86.27,2.39,400,15300
1042125,0.000,0.846,"P13_006176_0935_XN_86S350W",-86.22,1.78,400,15900
1042126,0.000,0.344,"P13_006176_0935_XN_86S350W",-86.18,1.19,400,16500
1042127,0.000,0.177,"P13_006176_0935_XN_86S350W",-86.13,0.62,400,17100
1042128,0.098,0.751,"P13_006176_0935_XN_86S350W",-86.08,0.06,400,17700
1042129,0.033,0.961,"P13_006176_0935_XN_86S350W",-86.04,359.51,400,18300
1042130,0.000,0.914,"P13_006176_0935_XN_86S350W",-85.99,358.97,400,18900
1042131,0.000,1.000,"P13_006176_0935_XN_86S350W",-85.94,358.45,400,19500
1042132,0.000,0.962,"P13_006176_0935_XN_86S350W",-85.89,357.94,400,20100
1042133,0.000,1.000,"P13_006176_0935_XN_86S350W",-87.18,24.02,1200,300
1042134,0.000,1.000,"P13_006176_0935_XN_86S350W",-87.15,22.94,1200,900
1042135,0.000,0.924,"P13_006176_0935_XN_86S350W",-87.12,21.89,1200,1500
1042136,0.000,1.000,"P13_006176_0935_XN_86S350W",-87.09,20.85,1200,2100
1042137,0.000,1.000,"P13_006176_0935_XN_86S350W",-87.06,19.83,1200,2700
1042138,0.050,0.912,"P13_006176_0935_XN_86S350W",-87.02,18.84,1200,3300
1042139,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.99,17.87,1200,3900
1042140,0.000,0.908,"P13_006176_0935_XN_86S350W",-86.96,16.92,1200,4500
1042141,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.92,15.99,1200,5100
1042142,0.000,0.909,"P13_006176_0935_XN_86S350W",-86.89,15.08,1200,5700
1042143,0.000,0.965,"P13_006176_0935_XN_86S350W",-86.85,14.20,1200,6300
1042144,0.050,0.953,"P13_006176_0935_XN_86S350W",-86.81,13.33,1200,6900
1042145,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.77,12.48,1200,7500
1042146,0.088,1.000,"P13_006176_0935_XN_86S350W",-86.74,11.66,1200,8100
1042147,0.000,0.970,"P13_006176_0935_XN_86S350W",-86.70,10.85,1200,8700
1042148,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.66,10.06,1200,9300
1042149,0.043,0.805,"P13_006176_0935_XN_86S350W",-86.62,9.29,1200,9900
1042150,0.000,0.136,"P13_006176_0935_XN_86S350W",-86.57,8.54,1200,10500
1042151,0.047,1.000,"P13_006176_0935_XN_86S350W",-86.53,7.81,1200,11100
1042152,0.099,0.813,"P13_006176_0935_XN_86S350W",-86.49,7.09,1200,11700
1042153,0.000,0.919,"P13_006176_0935_XN_86S350W",-86.45,6.39,1200,12300
1042154,0.000,0.950,"P13_006176_0935_XN_86S350W",-86.40,5.71,1200,12900
1042155,0.000,0.911,"P13_006176_0935_XN_86S350W",-86.36,5.04,1200,13500
1042156,0.000,0.925,"P13_006176_0935_XN_86S350W",-86.32,4.39,1200,14100
1042157,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.27,3.76,1200,14700
1042158,0.000,0.920,"P13_006176_0935_XN_86S350W",-86.23,3.14,1200,15300
1042159,0.000,0.766,"P13_006176_0935_XN_86S350W",-86.18,2.53,1200,15900
1042160,0.000,0.289,"P13_006176_0935_XN_86S350W",-86.14,1.94,1200,16500
1042161,0.182,0.649,"P13_006176_0935_XN_86S350W",-86.09,1.36,1200,17100
1042162,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.04,0.80,1200,17700
1042163,0.000,0.863,"P13_006176_0935_XN_86S350W",-85.99,0.25,1200,18300
1042164,0.000,0.951,"P13_006176_0935_XN_86S350W",-85.95,359.71,1200,18900
1042165,0.047,0.906,"P13_006176_0935_XN_86S350W",-85.90,359.18,1200,19500
1042166,0.000,1.000,"P13_006176_0935_XN_86S350W",-85.85,358.67,1200,20100
1042167,0.000,0.918,"P13_006176_0935_XN_86S350W",-87.12,24.64,2000,300
1042168,0.000,0.954,"P13_006176_0935_XN_86S350W",-87.09,23.57,2000,900
1042169,0.000,0.918,"P13_006176_0935_XN_86S350W",-87.06,22.53,2000,1500
1042170,0.000,1.000,"P13_006176_0935_XN_86S350W",-87.03,21.50,2000,2100
1042171,0.000,0.862,"P13_006176_0935_XN_86S350W",-87.00,20.50,2000,2700
1042172,0.089,0.873,"P13_006176_0935_XN_86S350W",-86.97,19.52,2000,3300
1042173,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.94,18.56,2000,3900
1042174,0.000,0.960,"P13_006176_0935_XN_86S350W",-86.90,17.62,2000,4500
1042175,0.000,0.965,"P13_006176_0935_XN_86S350W",-86.87,16.70,2000,5100
1042176,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.83,15.80,2000,5700
1042177,0.000,0.905,"P13_006176_0935_XN_86S350W",-86.80,14.92,2000,6300
1042178,0.000,0.956,"P13_006176_0935_XN_86S350W",-86.76,14.06,2000,6900
1042179,0.031,1.000,"P13_006176_0935_XN_86S350W",-86.72,13.21,2000,7500
1042180,0.000,0.920,"P13_006176_0935_XN_86S350W",-86.68,12.39,2000,8100
1042181,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.65,11.59,2000,8700
1042182,0.050,0.959,"P13_006176_0935_XN_86S350W",-86.61,10.80,2000,9300
1042183,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.57,10.03,2000,9900
1042184,0.048,0.174,"P13_006176_0935_XN_86S350W",-86.53,9.28,2000,10500
1042185,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.48,8.55,2000,11100
1042186,0.000,0.903,"P13_006176_0935_XN_86S350W",-86.44,7.84,2000,11700
1042187,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.40,7.14,2000,12300
1042188,0.049,0.805,"P13_006176_0935_XN_86S350W",-86.36,6.45,2000,12900
1042189,0.000,0.953,"P13_006176_0935_XN_86S350W",-86.31,5.79,2000,13500
1042190,0.000,0.949,"P13_006176_0935_XN_86S350W",-86.27,5.14,2000,14100
1042191,0.088,0.779,"P13_006176_0935_XN_86S350W",-86.23,4.50,2000,14700
1042192,0.000,0.787,"P13_006176_0935_XN_86S350W",-86.18,3.88,2000,15300
1042193,0.000,0.631,"P13_006176_0935_XN_86S350W",-86.14,3.27,2000,15900
1042194,0.051,0.345,"P13_006176_0935_XN_86S350W",-86.09,2.68,2000,16500
1042195,0.000,0.176,"P13_006176_0935_XN_86S350W",-86.05,2.10,2000,17100
1042196,0.000,0.966,"P13_006176_0935_XN_86S350W",-86.00,1.53,2000,17700
1042197,0.047,0.865,"P13_006176_0935_XN_86S350W",-85.95,0.98,2000,18300
1042198,0.000,0.963,"P13_006176_0935_XN_86S350W",-85.91,0.44,2000,18900
1042199,0.047,0.831,"P13_006176_0935_XN_86S350W",-85.86,359.91,2000,19500
1042200,0.000,1.000,"P13_006176_0935_XN_86S350W",-85.81,359.39,2000,20100
1042201,0.000,0.956,"P13_006176_0935_XN_86S350W",-87.06,25.23,2800,300
1042202,0.041,0.874,"P13_006176_0935_XN_86S350W",-87.03,24.18,2800,900
1042203,0.000,0.962,"P13_006176_0935_XN_86S350W",-87.00,23.15,2800,1500
1042204,0.000,0.957,"P13_006176_0935_XN_86S350W",-86.97,22.14,2800,2100
1042205,0.050,0.915,"P13_006176_0935_XN_86S350W",-86.94,21.15,2800,2700
1042206,0.046,0.955,"P13_006176_0935_XN_86S350W",-86.91,20.18,2800,3300
1042207,0.000,0.969,"P13_006176_0935_XN_86S350W",-86.88,19.23,2800,3900
1042208,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.85,18.29,2800,4500
1042209,0.000,0.915,"P13_006176_0935_XN_86S350W",-86.81,17.38,2800,5100
1042210,0.000,0.952,"P13_006176_0935_XN_86S350W",-86.78,16.49,2800,5700
1042211,0.000,0.950,"P13_006176_0935_XN_86S350W",-86.74,15.62,2800,6300
1042212,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.71,14.76,2800,6900
1042213,0.042,0.858,"P13_006176_0935_XN_86S350W",-86.67,13.92,2800,7500
1042214,0.000,0.953,"P13_006176_0935_XN_86S350W",-86.63,13.10,2800,8100
1042215,0.000,0.797,"P13_006176_0935_XN_86S350W",-86.59,12.30,2800,8700
1042216,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.56,11.52,2800,9300
1042217,0.000,0.909,"P13_006176_0935_XN_86S350W",-86.52,10.76,2800,9900
1042218,0.000,0.954,"P13_006176_0935_XN_86S350W",-86.48,10.01,2800,10500
1042219,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.44,9.28,2800,11100
1042220,0.043,0.243,"P13_006176_0935_XN_86S350W",-86.40,8.56,2800,11700
1042221,0.000,0.857,"P13_006176_0935_XN_86S350W",-86.35,7.86,2800,12300
1042222,0.000,0.860,"P13_006176_0935_XN_86S350W",-86.31,7.18,2800,12900
1042223,0.000,0.684,"P13_006176_0935_XN_86S350W",-86.27,6.52,2800,13500
1042224,0.000,0.911,"P13_006176_0935_XN_86S350W",-86.23,5.86,2800,14100
1042225,0.050,0.533,"P13_006176_0935_XN_86S350W",-86.18,5.23,2800,14700
1042226,0.000,0.191,"P13_006176_0935_XN_86S350W",-86.14,4.60,2800,15300
1042227,0.000,0.536,"P13_006176_0935_XN_86S350W",-86.09,3.99,2800,15900
1042228,0.048,0.138,"P13_006176_0935_XN_86S350W",-86.05,3.40,2800,16500
1042229,0.106,0.073,"P13_006176_0935_XN_86S350W",-86.00,2.82,2800,17100
1042230,0.000,0.899,"P13_006176_0935_XN_86S350W",-85.96,2.25,2800,17700
1042231,0.000,0.804,"P13_006176_0935_XN_86S350W",-85.91,1.69,2800,18300
1042232,0.000,0.814,"P13_006176_0935_XN_86S350W",-85.86,1.15,2800,18900
1042233,0.000,0.812,"P13_006176_0935_XN_86S350W",-85.82,0.62,2800,19500
1042234,0.000,0.729,"P13_006176_0935_XN_86S350W",-85.77,0.10,2800,20100
1042235,0.000,0.867,"P13_006176_0935_XN_86S350W",-87.00,25.79,3600,300
1042236,0.000,0.932,"P13_006176_0935_XN_86S350W",-86.97,24.76,3600,900
1042237,0.045,0.869,"P13_006176_0935_XN_86S350W",-86.95,23.74,3600,1500
1042238,0.000,0.955,"P13_006176_0935_XN_86S350W",-86.92,22.75,3600,2100
1042239,0.041,0.962,"P13_006176_0935_XN_86S350W",-86.89,21.77,3600,2700
1042240,0.000,0.952,"P13_006176_0935_XN_86S350W",-86.86,20.81,3600,3300
1042241,0.046,0.906,"P13_006176_0935_XN_86S350W",-86.82,19.87,3600,3900
1042242,0.000,0.949,"P13_006176_0935_XN_86S350W",-86.79,18.95,3600,4500
1042243,0.048,0.902,"P13_006176_0935_XN_86S350W",-86.76,18.04,3600,5100
1042244,0.044,0.919,"P13_006176_0935_XN_86S350W",-86.72,17.16,3600,5700
1042245,0.000,0.903,"P13_006176_0935_XN_86S350W",-86.69,16.29,3600,6300
1042246,0.000,0.950,"P13_006176_0935_XN_86S350W",-86.65,15.44,3600,6900
1042247,0.100,0.955,"P13_006176_0935_XN_86S350W",-86.62,14.61,3600,7500
1042248,0.000,0.955,"P13_006176_0935_XN_86S350W",-86.58,13.80,3600,8100
1042249,0.000,0.907,"P13_006176_0935_XN_86S350W",-86.54,13.00,3600,8700
1042250,0.000,0.962,"P13_006176_0935_XN_86S350W",-86.51,12.22,3600,9300
1042251,0.000,0.861,"P13_006176_0935_XN_86S350W",-86.47,11.46,3600,9900
1042252,0.000,0.917,"P13_006176_0935_XN_86S350W",-86.43,10.72,3600,10500
1042253,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.39,9.99,3600,11100
1042254,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.35,9.27,3600,11700
1042255,0.000,0.873,"P13_006176_0935_XN_86S350W",-86.31,8.58,3600,12300
1042256,0.000,0.813,"P13_006176_0935_XN_86S350W",-86.26,7.89,3600,12900
1042257,0.091,0.869,"P13_006176_0935_XN_86S350W",-86.22,7.23,3600,13500
1042258,0.050,0.794,"P13_006176_0935_XN_86S350W",-86.18,6.58,3600,14100
1042259,0.000,0.955,"P13_006176_0935_XN_86S350W",-86.14,5.94,3600,14700
1042260,0.000,0.902,"P13_006176_0935_XN_86S350W",-86.09,5.31,3600,15300
1042261,0.050,0.857,"P13_006176_0935_XN_86S350W",-86.05,4.70,3600,15900
1042262,0.000,0.844,"P13_006176_0935_XN_86S350W",-86.00,4.11,3600,16500
1042263,0.000,0.949,"P13_006176_0935_XN_86S350W",-85.96,3.52,3600,17100
1042264,0.000,0.921,"P13_006176_0935_XN_86S350W",-85.91,2.95,3600,17700
1042265,0.000,0.549,"P13_006176_0935_XN_86S350W",-85.87,2.39,3600,18300
1042266,0.000,0.103,"P13_006176_0935_XN_86S350W",-85.82,1.85,3600,18900
1042267,0.000,0.041,"P13_006176_0935_XN_86S350W",-85.77,1.32,3600,19500
1042268,0.000,0.050,"P13_006176_0935_XN_86S350W",-85.73,0.79,3600,20100
1042269,0.000,0.579,"P13_006176_0935_XN_86S350W",-86.94,26.33,4400,300
1042270,0.000,0.645,"P13_006176_0935_XN_86S350W",-86.92,25.31,4400,900
1042271,0.014,0.918,"P13_006176_0935_XN_86S350W",-86.89,24.31,4400,1500
1042272,0.000,0.923,"P13_006176_0935_XN_86S350W",-86.86,23.33,4400,2100
1042273,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.83,22.36,4400,2700
1042274,0.000,0.950,"P13_006176_0935_XN_86S350W",-86.80,21.41,4400,3300
1042275,0.075,0.958,"P13_006176_0935_XN_86S350W",-86.77,20.48,4400,3900
1042276,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.74,19.57,4400,4500
1042277,0.000,0.869,"P13_006176_0935_XN_86S350W",-86.70,18.68,4400,5100
1042278,0.139,0.883,"P13_006176_0935_XN_86S350W",-86.67,17.80,4400,5700
1042279,0.000,0.954,"P13_006176_0935_XN_86S350W",-86.64,16.94,4400,6300
1042280,0.043,0.920,"P13_006176_0935_XN_86S350W",-86.60,16.10,4400,6900
1042281,0.043,0.915,"P13_006176_0935_XN_86S350W",-86.57,15.27,4400,7500
1042282,0.046,0.954,"P13_006176_0935_XN_86S350W",-86.53,14.46,4400,8100
1042283,0.000,0.958,"P13_006176_0935_XN_86S350W",-86.49,13.67,4400,8700
1042284,0.000,1.000,"P13_006176_0935_XN_86S350W",-86.45,12.90,4400,9300
1042285,0.036,0.879,"P13_006176_0935_XN_86S350W",-86.42,12.14,4400,9900
1042286,0.000,0.908,"P13_006176_0935_XN_86S350W",-86.38,11.40,4400,10500
1042287,0.054,0.942,"P13_006176_0935_XN_86S350W",-86.34,10.67,4400,11100
1042288,0.047,0.957,"P13_006176_0935_XN_86S350W",-86.30,9.96,4400,11700
1042289,0.000,0.960,"P13_006176_0935_XN_86S350W",-86.26,9.26,4400,12300
1042290,0.035,0.863,"P13_006176_0935_XN_86S350W",-86.22,8.58,4400,12900
1042291,0.000,0.908,"P13_006176_0935_XN_86S350W",-86.17,7.92,4400,13500
1042292,0.000,0.834,"P13_006176_0935_XN_86S350W",-86.13,7.27,4400,14100
1042293,0.043,0.868,"P13_006176_0935_XN_86S350W",-86.09,6.63,4400,14700
1042294,0.000,0.868,"P13_006176_0935_XN_86S350W",-86.05,6.00,4400,15300
1042295,0.047,0.913,"P13_006176_0935_XN_86S350W",-86.00,5.39,4400,15900
1042296,0.000,0.800,"P13_006176_0935_XN_86S350W",-85.96,4.79,4400,16500
1042297,0.201,0.605,"P13_006176_0935_XN_86S350W",-85.91,4.21,4400,17100
1042298,0.050,0.834,"P13_006176_0935_XN_86S350W",-85.87,3.64,4400,17700
1042299,0.000,1.000,"P13_006176_0935_XN_86S350W",-85.82,3.08,4400,18300
1042300,0.000,0.960,"P13_006176_0935_XN_86S350W",-85.78,2.53,4400,18900
1042301,0.000,0.152,"P13_006176_0935_XN_86S350W",-85.73,1.99,4400,19500
1042302,0.086,0.426,"P13_006176_0935_XN_86S350W",-85.69,1.47,4400,20100
491520,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.02,59.49,400,300
491521,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.07,59.13,400,900
491522,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.13,58.76,400,1500
491523,0.028,0.000,"P13_006112_0852_XN_85S304W",-85.18,58.38,400,2100
491524,0.028,0.000,"P13_006112_0852_XN_85S304W",-85.23,58.00,400,2700
491525,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.28,57.60,400,3300
491526,0.040,0.000,"P13_006112_0852_XN_85S304W",-85.33,57.20,400,3900
491527,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.38,56.79,400,4500
491528,0.000,0.042,"P13_006112_0852_XN_85S304W",-85.43,56.37,400,5100
491529,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.48,55.94,400,5700
491530,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.53,55.50,400,6300
491531,0.000,0.000,"P13_006112_0852_XN_85S304W",-84.99,58.85,1200,300
491532,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.04,58.49,1200,900
491533,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.09,58.11,1200,1500
491534,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.14,57.73,1200,2100
491535,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.19,57.34,1200,2700
491536,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.24,56.95,1200,3300
491537,0.082,0.137,"P13_006112_0852_XN_85S304W",-85.30,56.54,1200,3900
491538,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.35,56.12,1200,4500
491539,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.40,55.70,1200,5100
491540,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.45,55.27,1200,5700
491541,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.50,54.83,1200,6300
491542,0.000,0.092,"P13_006112_0852_XN_85S304W",-84.95,58.22,2000,300
491543,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.00,57.85,2000,900
491544,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.06,57.47,2000,1500
491545,0.000,0.044,"P13_006112_0852_XN_85S304W",-85.11,57.08,2000,2100
491546,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.16,56.69,2000,2700
491547,0.000,0.039,"P13_006112_0852_XN_85S304W",-85.21,56.29,2000,3300
491548,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.26,55.88,2000,3900
491549,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.31,55.46,2000,4500
491550,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.36,55.03,2000,5100
491551,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.41,54.60,2000,5700
491552,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.46,54.15,2000,6300
491553,0.000,0.083,"P13_006112_0852_XN_85S304W",-84.92,57.59,2800,300
491554,0.000,0.147,"P13_006112_0852_XN_85S304W",-84.97,57.21,2800,900
491555,0.000,0.125,"P13_006112_0852_XN_85S304W",-85.02,56.83,2800,1500
491556,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.07,56.44,2800,2100
491557,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.12,56.05,2800,2700
491558,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.17,55.64,2800,3300
491559,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.22,55.23,2800,3900
491560,0.000,0.000,"P13_006112_0852_XN_85S304W",-85.27,54.81,2800,4500
